First Name,Last Name,Email,Lecturer No
Kenton,Rudolf,strongboxesforewomans@oscillatedtenpinsSuez.edu,678242360
Jude,Magness,duchysHueysAnnmaries@missionaryobeisances.com,4029167739
Spencer,Frieson,Moritasbermaccidentals@emanatedfamish.gov,14283887
Arlie,Boswell,Livoniaspicier@headCreolestenchs.gov,7207326542
Archie,Plourde,misstatespeacefullest@jibSperrys.com,9954902800
Jamar,Gaylord,Airedaleloudliest@inimicallythorniest.me,7902522312
Sid,Colclazier,unintelligiblysickenings@NickBatmanhighlands.com,9945010806
Erick,Zafra,newspapersrenderings@saleswoman.net,4508689926
Jorge,Reina,chasersmaltlawgivers@censorshipssuperstitiously.net,6594129309
Roman,Mebrahtu,printedpetulancereplays@annals.org,6479954595
Rico,Denbesten,manicuristsweightlessnesss@logestraveling.edu,8947535454
Dan,Blumetti,Santeriabaldswumflower@sidesaddles.com,5670234104
Wesley,Steelsmith,dissedRonniesAkhmatova@nebulasrockers.org,4496691710
Stanton,Bleckman,revivefrizzedtoothpastes@ciderscustomers.gov,1485032747
Osvaldo,Janocha,referendums@paraffin.me,6800267626
Gerald,Runyard,tuberculosiscoordinations@Philippessecretarys.net,4096782171
Dwayne,Hughlett,voodoodialectcutesiest@interbreedShenandoahs.gov,8888675451
Jae,Gentilini,Clementsunwednaves@hemophiliacYiddishs.edu,8652408619
Michal,Mutti,Smithsonian@MickEvangeline.me,2762094391
Randall,Skoien,bankrollsgeneralcosmopolitans@positronstire.gov,6892147784
Elijah,Somero,Nunavutsrefrigerating@skepticallyremovables.gov,6243706798
Norbert,Sotomayor,gratitudessylphs@informationaldouching.com,5545699096
Elvis,Durenberger,dragnetinhalator@brightness.me,1411595084
Julio,Readel,hillockspuzzlersgreedy@lawbreakers.gov,126400594
Tobias,Ani,Japuraparchedmistaken@jerkyLaotianGödels.com,5222724208
Leandro,Paytes,Ivorycanopies@activistsBills.org,941845489
Lowell,Slimak,lustinesssrepletes@symphonicoverlain.me,8177532876
Leonardo,Laluna,defyneuronAidaBeardsleys@accoladesescapisms.net,4941320409
Efren,Everette,instancesbreakables@palpitateseucalyptus.edu,3702269938
Jerold,Cravalho,greeteddiabetic@insulin.edu,4354323206
Reuben,Shalla,trustfuletas@malingers.gov,9792765850
Lavern,Cripe,convulsions@degeneratealtruistically.org,3151474999
Reginald,Bleam,confusionsstaving@protégés.gov,4992673089
Emery,Litecky,AdanaidealizeAlhambras@oneselfslavedpikeShea.com,6016298313
Hans,Byndom,insolventKhwarizmiproducer@cooliescircumcision.info,5336821479
Santiago,Baggio,squadronhennasGeorges@Hatterascrotches.edu,7698600436
Edwin,Parikh,Sabrinasludgedhopscotched@noelaniondisuniting.gov,3527868937
Stanton,Zaloom,defectorsKazanshandfuls@canopysinitiators.gov,2916339510
Denver,Lantier,landwardpumicesobtain@hartsvictims.gov,7690882689
Vernon,Mccole,disclaiming@Shaulashowersswaggerer.com,723384450
Buster,Gallus,fearfullestinfected@greetingsbrowbeaten.org,248142721
Milford,Jukich,Ugandarestorations@Anchorageanonymously.gov,1928577306
Leonard,Casavan,lassoingaquaequintuplets@Wyothoughts.org,4359238319
Coleman,Allison,Kennysmoodsbud@HuertaFrybronchial.me,1947170625
Walter,Tavelli,Chancellorsvilles@earthwormassembler.edu,8546344854
Robin,Mccammant,Baptistsderived@poshAtheniansembryologist.edu,2333267602
Darryl,Kreski,fiendsBramptondisarmaments@iconoclastsshabbinesss.me,6405790311
Val,Urling,navalstakeValentins@canteensexperiences.org,8215488811
Cristobal,Ferrante,loxnightienumerically@backslashtheftslawless.org,1797321688
Jean,Edgil,atomichamsterscalliopes@cantaloupefledglings.edu,9431057629
